category,reference_number,date_logged,request_status,issue_description,service,address
Law Enforcement,9121354971,2025-12-03,Closed,Graffiti at 7 Glynn Street nearest corner Buitenkant,Grafitti,0 GLYNN STREET GARDENS GARDENS
Water & Sanitation,9121354971,2025-12-03,,Missing survey marker along Solan Street at number 19 nearest corner Wesley Street,,
Water & Sanitation,9121355218,2025-12-03,Closed,Missing square cover along Solan Street nearest corner Wesley Street. Address 17 Solan Street,Missing Cover Valve,0 SOLAN ROAD GARDENS GARDENS
Roads & Infrastructure,9121355288,2025-12-03,Closed,Pavement repairs needed along Glynn Street at 38 Glynn nearest corner McKenzie Street,Defect Road Foot Bic Way/Kerbs,44 GLYNN STREET UNKNOWN GARDENS
Water & Sanitation,9121358823,2025-12-03,Closed,Missing cover along Scott Street at number 27 nearest corner McKenzie,Missing Cover Valve,"27 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121358849,2025-12-03,Registered,Leaking water meter along Scott Street at number 25 nearest corner McKenzie,Leak on Treated Effluent Meter,25 SCOTT ST GARDENS GARDENS
Roads & Infrastructure,9121358858,2025-12-03,Assigned,Reinstatement needed along Scott Street at number 28 nearest cotner Solan Street,WAT: Re-Instatement after water incident,"28 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Electricity,9121359993,2025-12-04,Closed,Exposed cable along Scott Street at number 28 nearest Solan Street,Cable Exposed,28 SCOTT ST GARDENS GARDENS
Water & Sanitation,9121360016,2025-12-04,Closed,Missing cover along Scott Street at number 28 nearest corner Solan Street,Missing Cover Fire Hydrant,28 SCOTT ST GARDENS GARDENS
Roads & Infrastructure,9121360053,2025-12-04,Closed,Defect in the pavement along Buitenkant at 173 Buitenkant nearest corner Mill Street,Defect Road Foot Bic Way/Kerbs,173 BUITENKANT ST GARDENS GARDENS
Law Enforcement,9121360112,2025-12-04,Closed,Graffiti along Hope Street at number 107 nearest corner Glynville,Grafitti,"107 HOPE STREET GARDENS, CAPE TOWN GARDENS"
Electricity,9121359466,2025-12-03,Closed,Street light in Buitenkant street are not working,Street Lights - All Lights Out,0 BUITENKANT STREET GARDENS GARDENS
Waste Management,9121365302,2025-12-04,Closed,Need new litter bins at Wembley square along Solan Street and Glynn Street,Litter Bins Required,11 WEMBLEY SQUARE GARDENS
Waste Management,9121366534,2025-12-05,Closed,Dumping of waste on the corner of Hope & Tuin Plein street in Lower Gardens.,Street Sweeping,27 CAMERON LANE CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
