category,reference_number,date_logged,request_status,issue_description,service,address
Roads & Infrastructure,9121013953,2025-10-15,Closed,Missing cover in the road along Hope Stret nearest corner Tuin Plein,Defect Road Foot Bic Way/Kerbs,23 HOPE STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014035,2025-10-15,Closed,Repair of pavement along Tuin Plein nearest corner Hope Street in Gardens,Manhole Cover/Gully Grid,25 HOPE ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014710,2025-10-15,Closed,Missing cover by the Cathedral along Hope Street nearest corner Roeland Additional Address Information The missing cover is along Hope Street nearest corner Roeland,Manhole Cover/Gully Grid,7 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014795,2025-10-15,Closed,Pavement repair at the Cathedral along St Johns nearest corner Roeland,Defect Road Foot Bic Way/Kerbs,7 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014847,2025-10-15,Closed,Pavement repair along St Johns nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS ROAD UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014902,2025-10-15,Closed,Pavement repair along St Johns nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014947,2025-10-15,Closed,pavement repair needed along St Johns road nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014990,2025-10-15,Assigned,Storm water drain cleaning needed along St Johns nearest corner Bouquet,Block Pipe / Chan / Canal / Drain / Guly,48 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015048,2025-10-15,Closed,Pavement repair along St Johns nearest corner Vrede Street,Defect Road Foot Bic Way/Kerbs,52 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015104,2025-10-15,Closed,Pavement repair along St Johns nearest corner Vrede Street,Defect Road Foot Bic Way/Kerbs,79 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121015136,2025-10-15,Closed,Missing manhole cover along St Johns nearest corner Vrede,Manhole Cover/Gully Grid,79 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015208,2025-10-15,Assigned,Trench along Vrede Street nearest corner St Johns,WAT: Re-Instatement after water incident,79 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121015314,2025-10-15,Closed,Missing cover along Hatfield nearest corner Dunkley,Missing Cover Valve,0 CORNER DUNKLEY AND HATFIELD GARDENS GARDENS
Law Enforcement,9121015360,2025-10-15,Closed,Removing graffiti along Dunkley Square nearest corner Hatfield,Grafitti,107 DUNKLEY STREET GARDENS GARDENS
Roads & Infrastructure,9121015422,2025-10-15,Closed,Pavement repair along Hatfield nearest corner Wandel Street,Defect Road Foot Bic Way/Kerbs,117 HATFIELD ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015514,2025-10-15,Closed,Pavement repair along Wandel Street nearest corner Hatfield Additional Address Information Defect is along Wandel Street,Defect Road Foot Bic Way/Kerbs,129 HATFIELD ST GARDENS GARDENS
Roads & Infrastructure,9121015552,2025-10-15,Closed,Leak in Wandel street.,Leak in Road/Pavement/Undergr,18 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,9121015598,2025-10-15,Closed,Missing cover along Wandel nearest corner Gordon,Manhole Cover/Gully Grid,2 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121015653,2025-10-15,Closed,Missing cover along Glynville nearest corner Barnet,Manhole Cover/Gully Grid,1 GLYNVILLE STREET GARDENS GARDENS
Law Enforcement,9121015740,2025-10-15,Closed,Graffiti along Wandel Street nearest corner Incohlm,Grafitti,3 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,,2025-10-22,,Missing cover along Scott Street at number 19 nearest corner Maynard,,
Roads & Infrastructure,,2025-10-22,,Trees uprooting pavement along Scott Street at number 21 Scott Street nearest corner Maynard,,
Roads & Infrastructure,,2025-10-22,,Pavement uprooted along Scott Street at number 23 nearest corner Solan Road,,
Roads & Infrastructure,,2025-10-22,,Missing cover at corner Solan and 30 Scott Street,,
Roads & Infrastructure,,2025-10-22,,Pavement uprooted along Scott Street at number 29 nearest corner McKenzie,,
Roads & Infrastructure,,2025-10-22,,Fire hydrant along Brandweer nearest corner Roeland,,
Electricity,,2025-10-22,Closed,4x missing covers along Brandweer nearest corner Mill Street,,
Roads & Infrastructure,,2025-10-22,,3x missing covers along Roeland at Cape Penisula University nearest corner Brandweer,,
Roads & Infrastructure,,2025-10-22,,Missing cover along 19 Solan nearest corner Roodehek ar,,
Roads & Infrastructure,9121114999,2025-10-29,Closed,Missing survey marker cover at 105 Hope Street nearest corner Roodehek street.,Missing Cover Valve,105 HOPE ST GARDENS GARDENS
Water & Sanitation,9121115922,2025-10-29,In Progress,Missing survey marker cover along Hope and glynville Street. 26 glynville.,Missing Cover Valve,19 GLYNVILLE STREET UNKNOWN GARDENS
Law Enforcement,9121116224,2025-10-29,Closed,Graffiti along Glynville street nearest Hope street,Grafitti,30 HOPE STREET UNKNOWN GARDENS
Roads & Infrastructure,9121116295,2025-10-29,Closed,Defect in the road along Glynville stree nearest corner Wandel. 15 Glynville,Mowing - Road Reserves,"15 GLYNVILLE STREET GARDENS, CAPE TOWN GARDENS"
Law Enforcement,9121113640,2025-10-29,Closed,Graffiti along Glynville Street nearest corner Wandel Street. 15 Glynville,Inbound correspondence – miscellaneous,
Roads & Infrastructure,9121116790,2025-10-29,Closed,Missing lid along Glynville Street nearest corner Wandel,Missing Manhole Cover,30 HOPE STREET UNKNOWN GARDENS
Roads & Infrastructure,,2025-10-29,,Along Wandel,,
Roads & Infrastructure,9121117155,2025-10-29,Closed,Outside the school on Hope Street nearest corner Hopeville,Defect Road Foot Bic Way/Kerbs,30 HOPE STREET UNKNOWN GARDENS
Roads & Infrastructure,,2025-10-29,,Pole missing along Hope Street Nearest corner Hopeville Street. By the Good Hope School,,
Roads & Infrastructure,9121117216,2025-10-29,Closed,Pavement defect along Hope Street nearest corner Hopeville Street,Defect Road Foot Bic Way/Kerbs,30 HOPE STREET GARDENS GARDENS
Roads & Infrastructure,9121117515,2025-10-29,Closed,Pavement defect along Hopeville nearest corner Hope Street.,Defect Road Foot Bic Way/Kerbs,30 HOPE STREET GARDENS GARDENS
Roads & Infrastructure,9121117595,2025-10-29,Closed,Pavement defect along Hopeville Street nearest Mill,Defect Road Foot Bic Way/Kerbs,30 HOPE STREET UNKNOWN GARDENS
Roads & Infrastructure,9121117699,2025-10-29,Assigned,By jackhammer by Mill nearest corner Buitenkant,Block Pipe / Chan / Canal / Drain / Guly,Unknown JACK HAMMER'S HARDWARE SPECIALTY STORE GARDENS GARDENS
Roads & Infrastructure,9121117781,2025-10-29,Assigned,Tree removal along Mill Street nearest corner Maynard.,Tree Removal,173 BUITENKANT STREET UNKNOWN GARDENS
Roads & Infrastructure,9121119776,2025-10-30,Closed,"Defect in kerb along Maynard street, nearest corner Mill Street",Lowering of Kerbs and Pavements,18 SCOTT STREET GARDENS GARDENS
Roads & Infrastructure,9121119875,2025-10-30,In Progress,Missing survey marker cover along Buitenkant Street nearest corner Scott Street,Missing Cover Valve,0 SCOTT STREET GARDENS GARDENS
Roads & Infrastructure,9121120031,2025-10-30,Closed,Missing square shaped cover at 161 Buitenkant nearest corner Scott Street,Manhole Cover/Gully Grid,130 BUITENKANT STREET UNKNOWN GARDENS
Water & Sanitation,9121120733,2025-10-30,Closed,Missing survey marker cover along Roodehek Street nearest corner Buitenkant,Manhole Cover/Gully Grid,130 BUITENKANT STREET UNKNOWN GARDENS
Water & Sanitation,9121121698,2025-10-30,Closed,Missing survy marker cover along Glynn nearest corner Buitenkant,Manhole Cover/Gully Grid,93 BUITENKANT STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121121844,2025-10-30,Closed,Pothole along Glynn nearest corner Buitenkant street.,Road - Pothole repair,93 BUITENKANT STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121121937,2025-10-30,Registered,Missing survey marker cover along Buitenkant at Jackson terrace nearest corner Glynn Street,Stolen Treated Effluent Chamber Cover,93 BUITENKANT STREET UNKNOWN CAPE TOWN CITY CENTRE
Electricity,9121122023,2025-10-30,Closed,Missing electric pole cover along Buitenkant nearest corner Roeland,Cable Exposed,63 BUITENKANT STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121122087,2025-10-30,Registered,"Missing survey marker cover along Buitenkant street, nearest corner Roeland street.",Stolen Treated Effluent Chamber Cover,46 ROELAND STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121122208,2025-10-30,Closed,"Defect on the pavement surrounding three manholes, along Roeland street nearest corner Buitenkant street.",Defect Road Foot Bic Way/Kerbs,22 MILL STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121122457,2025-10-30,Closed,Defect on kerb & street in front of 75 Hope street nearest corner Wandel street.,Road - Pothole repair,14A BOUQUET STREET UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121122607,2025-10-30,Closed,Kerb defect along Hope Street nearest corner Wandel Street by 75 Hope Street,Lowering of Kerbs and Pavements,75 HOPE ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121122871,2025-10-30,Closed,Reinstatement needed on Glynn Street nearest corner Hope,Traffic sign - Damage,49 HOPE STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121121077,2025-10-30,Closed,"Drain leak in front of 19 Maynard street, corner of Wesley & Maynard street.",Leak at Valve,19 MAYNARD STREET UNKNOWN GARDENS
Water & Sanitation,9121121243,2025-10-30,Closed,Water leak in front of 50 Roeland street nearest corner Buitenkant street.,Leak in Road/Pavement/Undergr,50 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121129858,2025-10-31,Closed,"Potholes along Tuin Plein street, next to three grid drains.",Road - Pothole repair,14A BOUQUET STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121143565,2025-11-03,Closed,"Missing manhole cover in front of 46 Barnet street, nearest corner Dunkley street.",Manhole Cover/Gully Grid,46 BARNET STREET UNKNOWN GARDENS
Electricity,9121144116,2025-11-03,Closed,"Exposed / loose wires in front of 24 Dunkley street, Dunkley square, nearest corner Wandel street.",Cable Exposed,56 BARNET STREET UNKNOWN GARDENS
Water & Sanitation,9121158995,2025-11-05,Closed,"Water leak in front of 18 Wandel street, nearst corner Wandel street.",Burst Pipe,18 WANDEL ST GARDENS GARDENS
Water & Sanitation,9121162194,2025-11-05,In Progress,Reinstatement needed along Wandel Street nearest corner Glynville.,SEW:Re-instatement after Sewer Incident,30 HOPE STREET UNKNOWN GARDENS
,,2025-11-05,,Pipe needs to be repaired along Courville Street nearest corner Wandel Street.,,
Roads & Infrastructure,,2025-11-05,,Pavement reinstatement along Courville Street nearest corner Wandel Street,,
Roads & Infrastructure,,2025-11-05,,Missing cover along Courville Streer nearest corner Wandel Street.,,
Roads & Infrastructure,,2025-11-05,,Missing cover along Courville Street nearest corner Wandel Street,,
Roads & Infrastructure,,2025-11-05,,Road reinstatement needed along Courville Street nearest corner Hopeville Street,,
Roads & Infrastructure,9121172569,2025-11-06,Closed,"Missing cover in front of 8 Hopeville Street, nearest cornet Courtville street.",Missing Manhole Cover,8 HOPEVILLE ST GARDENS GARDENS
Water & Sanitation,9121167329,2025-11-06,Closed,"Missing square cover in front of number 9 Gordon street, nearest corner Wandel street.",Manhole Cover/Gully Grid,9 GORDON ST GARDENS GARDENS
Water & Sanitation,9121167427,2025-11-06,Closed,Missing square cover at 16 Gordon street nearest corner Wandel Street,Manhole Cover/Gully Grid,16 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121167448,2025-11-06,Closed,Defect in the road in front of 3 Gordon Street nearest corner Wandel Street.,Defect Road Foot Bic Way/Kerbs,3 GORDON ST GARDENS GARDENS
Water & Sanitation,9121167684,2025-11-06,Closed,Missing square cover along in front of 10 Gordon Street nearest corner Wandel Street,Manhole Cover/Gully Grid,10 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121167868,2025-11-06,Closed,Missing square cover in front of 6 Gordon Street nearest corner Wandel Street,Manhole Cover/Gully Grid,6 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121167952,2025-11-06,Closed,Missing cover in front of 4 Gordon Street nearest corner Wandel Street,Manhole Cover/Gully Grid,4 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121168007,2025-11-06,Closed,Missing survey marker cover in front of 18 Wandel Street nearest corner is Gordon street.,Missing Cover Valve,18 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,9121172479,2025-11-06,Closed,Defect on the pavement in front of 39 Wandel Street nearest corner Hatfield.,Defect Road Foot Bic Way/Kerbs,0 WANDEL STREET GARDENS GARDENS
Roads & Infrastructure,9121172464,2025-11-06,Registered,"Missing cover on the corner Dunkley and Hatfield street, next to the blue lid.",Stolen Treated Effluent Chamber Cover,0 HATFIELD ROAD GARDENS GARDENS
Roads & Infrastructure,9121168093,2025-11-06,Closed,Road reinstatement needed in front of 8 Vrede street nearest corner St John's street.,Traffic sign - Damage,8 VREDE AVE GARDENS GARDENS
Roads & Infrastructure,9121168125,2025-11-06,Closed,Road defect in front of 8 Vrede street corner Tuin Plein street.,Defect Road Foot Bic Way/Kerbs,8 VREDE AVE GARDENS GARDENS
Roads & Infrastructure,9120949354,2025-10-06,Assigned,Road markings needed along Hatfield road between Annadale and Roeland Street,Paint Markings Lines & Signs,109 HATFIELD ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9120966308,2025-10-08,Closed,Pavement repair needed along Scott Street nearest corner Maynard Street in Gardens,Defect Road Foot Bic Way/Kerbs,169 BUITENKANT STREET UNKNOWN GARDENS
Water & Sanitation,9120966555,2025-10-08,Closed,Damaged fire hydrant cover along Maynard Street nearest corner Scott Street,Missing Cover Fire Hydrant,4 MAYNARD STREET PARK GARDENS
Roads & Infrastructure,9120966665,2025-10-08,Assigned,Stormwater drain needs to be cleaned along Roodehek nearest corner Buitenkant Street Additional Address Information drain is along roodehek street,Block Pipe / Chan / Canal / Drain / Guly,120 BUITENKANT ST GARDENS GARDENS
Roads & Infrastructure,9120966710,2025-10-08,Assigned,"Road repairs needed on Wesley Street, nearest corner Maynard Street in Gardens",Defect Road Foot Bic Way/Kerbs,19 MAYNARD ST GARDENS GARDENS
Roads & Infrastructure,9120966785,2025-10-08,Closed,Pavement repairs needed along Wesley Street nearest corner Buitenkant Additional Address Information defect is along Wesley Street,Defect Road Foot Bic Way/Kerbs,125 BUITENKANT ST GARDENS GARDENS
Roads & Infrastructure,9120966842,2025-10-08,Closed,Damaged cover along Buitenkant Street nearest corner Glynn Street,Faulty Damaged Manhole Cover,"78A BUITENKANT STREET CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Roads & Infrastructure,9120966870,2025-10-08,Assigned,damaged pavement along Buitenkant street nearest corner Glynn Street,Defect Road Foot Bic Way/Kerbs,"78 BUITENKANT STREET CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Roads & Infrastructure,9120967388,2025-10-08,Assigned,Repairs required along Buitenkant street nearest corner Roeland Street,WAT: Re-Instatement after water incident,34 ROELAND STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9120967424,2025-10-08,Closed,Water leak along Buitenkant nearest corner Roeland Street,Burst Pipe,46 ROELAND STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9120967472,2025-10-08,Closed,Repair of pavement along Roeland Street nearest corner Hope street in Gardens,Defect Road Foot Bic Way/Kerbs,16 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9120969385,2025-10-08,Closed,Pavement repair needed along Roeland Street nearest corner Hope Street in Gardens,Defect Road Foot Bic Way/Kerbs,6 ROELAND STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9120969514,2025-10-08,Closed,Stormwater drain covers along Wesley street have been stolen. The covers are in the Tuin Plein park between Hope Street and Tuin Plein in Gardens Additional Address Information,Manhole Cover/Gully Grid,14 TUIN PLEIN UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9120971915,2025-10-09,Closed,"Water leak corner Buitenkant and Roeland street, in front of the Kimberly hotel.",Drain Blockage at the Facility,46 ROELAND STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9120972180,2025-10-09,Closed,"Construction of building and internal works commenced in 2024 and is nearly complete (expected to finish 20 Oct 2025), however external water connections (fire supply and commercial) is not yet resolved, which is of real concern to the Owner who would like to start with trading shortly, however occupancy certificate release is also tied to the successful completion of the external fire supply connection. Additional Address Information",No Water Supply - Below 40mm,2 ROODEHEK ST GARDENS GARDENS
Roads & Infrastructure,9121196646,2025-11-10,Assigned,Reinstatement needed along Buitenkant at number 155 nearest corner Roodehek,SEW:Re-instatement after Sewer Incident,115 BUITENKANT ST GARDENS GARDENS
Roads & Infrastructure,9120985664,2025-10-10,Assigned,Broken Kerb at Wembley Square along McKenzie nearest corner Glynn street.,Steps and Staircases/Concrete Structures,23 SOLAN ROAD GARDENS GARDENS
Water & Sanitation,9121198298,2025-11-11,Closed,Water leak in corner of Solan and Scott street,Leak in Road/Pavement/Undergr,10 SOLAN ROAD GARDENS GARDENS
Roads & Infrastructure,9121273392,2025-11-21,Closed,Road repairs needed along Hope Street at number 27 Hope Street. Nearest corner Tuin Plein,Burst Pipe,1 BICKLEY STREET DOBSON DOBSON
Roads & Infrastructure,9121258579,2025-11-19,Closed,Missing survey marker cover along Roeland Street nearest corner Hope Street,Missing Cover Valve,7 HOPE STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Electricity,9121269392,2025-11-20,Closed,"Exposed wires next to a man hole in front of 1 Hope Street, nearest corner Roeland street.",Wires Exposed,0 CORNER HOPE AND ROELAND CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121269684,2025-11-20,Closed,Missing square cover in front of 14A roeland street. Nearest,Missing Manhole Cover,14 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121269838,2025-11-20,Closed,Missing survey marker in fornt of 16-18 Roeland Street,Missing Cover Valve,16 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121270656,2025-11-20,Closed,Broken kerb in front of the Kimberley hotel at 46 Roeland street. Corner of Buitenkant & Roeland street.,Mowing - Road Reserves,46 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121270854,2025-11-20,Assigned,"Reinstatement needed in front of 46 Roeland Street, nearest corner Roeland street.",Traffic sign - Damage,46 ROELAND ST CAPE TOWN CAPE TOWN
Water & Sanitation,9121271110,2025-11-20,Registered,"Missing survey cover in front of 46 Roeland Street, nearest corner is Buitenkant street.",Replace Manhole cover & frame,46 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121271376,2025-11-20,Closed,"Pavement repairs needed along 39 Buitenkant Street, nearest corner Roeland street.",Defect Road Foot Bic Way/Kerbs,50 ROELAND STREET DISTRICT SIX DISTRICT SIX
